Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Royal Gold,RGLD,NSDQ,Basic Materials,Mining - Gold,YES,120.52,0.62,7906.03,12,35.55,31.63,27.39,3.35,3.81,4.4,0.13731343283582087,0.1548556430446195,2.303489130434783,1.7687440677966095,3.16
Rio Tinto,RIO,NYSE,Basic Materials,Mining - Miscellaneous,YES,67.32,0.69,84213.79,12,,8.89,9.03,8.28,7.57,7.45,-0.0857487922705313,-0.01585204755614268,-1.0367492957746494,-5.696424999999995,
Sandstorm Gold,SAND,NYSE,Basic Materials,Mining - Gold,YES,5.51,0.94,1646.06,12,36.73,56.22,51.26,0.11,0.1,0.11,-0.09090909090909087,0.09999999999999995,-6.184200000000003,5.126000000000002,
Sibanye Gold Limited,SBSW,NYSE,Basic Materials,Mining - Miscellaneous,YES,7.19,1.47,5087.94,12,,5.92,4.34,1.91,1.22,1.65,-0.3612565445026178,0.35245901639344257,-0.16387246376811596,0.12313488372093026,0.51
Southern Copper,SCCO,NYSE,Basic Materials,Mining - Non Ferrous,YES,75.89,1.24,58670.45,12,22.0,20.2,17.41,3.05,3.76,4.36,0.23278688524590163,0.15957446808510653,0.8677464788732395,1.0910266666666657,17.57
Stepan,SCL,NYSE,Basic Materials,Chemical - Diversified ,YES,93.03,0.83,2078.41,12,16.58,21.05,14.95,6.61,4.42,6.22,-0.3313161875945537,0.40723981900452483,-0.6353447488584475,0.3671055555555556,
National Steel,SID,NYSE,Basic Materials,Steel - Producers,YES,2.74,1.72,3801.82,12,,11.42,8.18,0.57,0.24,0.34,-0.5789473684210527,0.4166666666666668,-0.19725454545454543,0.19631999999999994,0.81
Scotts MiracleGro,SMG,NYSE,Basic Materials,Fertilizers,YES,66.6,1.6,3734.4,9,24.67,26.8,17.46,4.14,2.48,3.82,-0.4009661835748792,0.5403225806451613,-0.6683855421686747,0.32314029850746273,
Sociedad Quimica y Minera,SQM,NYSE,Basic Materials,Fertilizers,YES,79.0,0.97,22565.39,12,5.84,6.35,7.9,13.18,12.45,10.0,-0.0553869499241275,-0.19678714859437746,-1.1464794520547938,-0.40144897959183684,0.43
Silver Standard Resources,SSRM,NSDQ,Basic Materials,Mining - Miscellaneous,YES,14.69,0.88,2998.16,12,32.64,13.86,14.99,0.63,1.06,0.98,0.6825396825396826,-0.07547169811320761,0.20306511627906976,-1.9861749999999985,1.09
Steel Dynamics,STLD,NSDQ,Basic Materials,Steel - Producers,YES,106.94,1.51,18076.46,12,5.2,6.26,11.48,21.97,17.09,9.32,-0.22212107419208008,-0.454651843183148,-0.2818282786885246,-0.25250090090090094,
Suzano,SUZ,NYSE,Basic Materials,Paper and Related Products,YES,9.2,1.15,12523.63,12,3.46,4.05,5.41,3.68,2.27,1.7,-0.3831521739130435,-0.2511013215859031,-0.10570212765957446,-0.21545087719298245,0.58
Teck Resources,TECK,NYSE,Basic Materials,Mining - Miscellaneous,YES,41.65,1.07,21379.51,12,6.95,9.1,9.48,6.87,4.58,4.39,-0.3333333333333333,-0.04148471615720532,-0.273,-2.2851789473684168,
Triple Flag Precious Metals Corp.,TFPM,NYSE,Basic Materials,Mining - Gold,YES,14.08,,2192.05,12,,36.81,25.83,0.37,0.38,0.55,0.027027027027027053,0.4473684210526317,13.619699999999987,0.577376470588235,5.59
Tronox,TROX,NYSE,Basic Materials,Chemical - Diversified ,YES,14.2,1.92,2225.54,12,9.4,10.46,6.29,2.25,1.36,2.26,-0.3955555555555555,0.6617647058823527,-0.26443820224719106,0.09504888888888892,1.1
Ternium,TX,NYSE,Basic Materials,Steel - Producers,YES,43.62,1.54,8562.94,12,6.27,7.02,7.68,8.99,6.21,5.68,-0.3092324805339266,-0.08534621578099844,-0.22701366906474815,-0.8998641509433958,
Univar Solutions,UNVR,NYSE,Basic Materials,Chemical - Diversified ,YES,35.84,1.66,5653.6,12,12.19,12.13,10.53,3.47,2.95,3.4,-0.14985590778097982,0.15254237288135583,-0.8094442307692308,0.6903000000000005,1.47
VALE,VALE,NYSE,Basic Materials,Mining - Iron,YES,14.07,0.87,63076.91,12,4.55,6.36,6.29,3.01,2.21,2.24,-0.26578073089700993,0.013574660633484276,-0.23929500000000004,4.633633333333295,
Veritiv,VRTV,NYSE,Basic Materials,Paper and Related Products,YES,132.24,2.2,1791.4,12,5.97,6.53,7.51,23.5,20.25,17.6,-0.13829787234042554,-0.13086419753086412,-0.4721692307692308,-0.5738773584905663,0.42
Valvoline,VVV,NYSE,Basic Materials,Chemical - Specialty,YES,38.2,1.33,6333.9,9,24.49,34.17,22.93,2.11,1.12,1.67,-0.46919431279620843,0.4910714285714284,-0.7282696969696971,0.466938181818182,
West Fraser Timber Co.,WFG,NYSE,Basic Materials,Agriculture - Products,YES,88.34,1.14,7381.32,12,10.47,22.48,9.77,21.45,3.93,9.04,-0.8167832167832167,1.3002544529262086,-0.27522602739726026,0.07513913894324854,
Westlake,WLK,NYSE,Basic Materials,Chemical - Plastic,YES,125.0,1.26,15950.0,12,8.6,12.17,11.03,18.5,10.27,11.34,-0.4448648648648649,0.10418695228821814,-0.27356622114216284,1.0586738317757005,
Wheaton Precious Metals,WPM,NYSE,Basic Materials,Mining - Miscellaneous,YES,44.43,0.55,20119.46,12,44.43,38.23,32.76,1.13,1.16,1.36,0.02654867256637171,0.17241379310344845,14.39996666666665,1.9000799999999978,7.65
WestRock,WRK,NYSE,Basic Materials,Paper and Related Products,YES,29.41,1.19,7532.79,9,6.86,12.45,14.43,4.76,2.36,2.04,-0.5042016806722689,-0.135593220338983,-0.246925,-1.0642125000000004,1.17
United States Steel,X,NYSE,Basic Materials,Steel - Producers,YES,24.61,2.15,5573.06,12,3.3,5.76,13.79,9.54,4.28,1.78,-0.5513626834381551,-0.5841121495327103,-0.10446844106463879,-0.23608479999999998,
