Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Barclays,BCS,NYSE,Finance,Banks - Foreign,YES,8.22,1.37,31954.61,12,5.07,4.73,4.38,1.78,1.74,1.88,-0.02247191011235957,0.08045977011494247,-2.1048499999999986,0.5443714285714288,
KE Hodlings,BEKE,NYSE,Finance,Real Estate - Operations,YES,14.99,-1.04,18614.48,12,19.99,16.94,14.55,0.26,0.88,1.03,2.3846153846153846,0.17045454545454547,0.07103870967741936,0.8536,0.38
Franklin Resources,BEN,NYSE,Finance,Financial - Investment Management,YES,28.9,1.28,14474.95,9,10.63,12.28,11.18,3.53,2.35,2.59,-0.3342776203966005,0.10212765957446798,-0.3673593220338983,1.0947083333333343,
"BGC Group, Inc.",BGC,NSDQ,Finance,Financial - Investment Bank,YES,4.64,1.63,1783.48,12,6.44,6.11,5.27,0.68,0.76,0.88,0.11764705882352934,0.15789473684210525,0.5193500000000003,0.33376666666666666,
Brighthouse Financial,BHF,NSDQ,Finance,Insurance - Life Insurance,YES,49.0,1.3,3276.17,12,5.09,3.48,2.95,9.43,14.1,16.64,0.49522799575821846,0.18014184397163127,0.07027066381156316,0.16375984251968498,
Berkshire Hills Bancorp,BHLB,NYSE,Finance,Financial - Savings and Loan,YES,22.66,0.97,1003.32,12,9.44,9.66,9.14,2.21,2.35,2.48,0.06334841628959281,0.05531914893617017,1.5248999999999988,1.6522307692307707,
Brookfield Infrastructure Partners,BIP,NYSE,Finance,REIT and Equity Trust - Other,YES,35.78,0.87,16413.98,12,12.82,11.65,10.68,2.7,3.07,3.35,0.1370370370370369,0.09120521172638445,0.850135135135136,1.1709857142857132,
The Bank of New York Mellon,BK,NYSE,Finance,Banks - Major Regional,YES,43.54,1.09,34358.89,12,9.09,9.18,8.69,4.41,4.74,5.01,0.07482993197278913,0.056962025316455604,1.226781818181818,1.5255777777777804,1.15
BankUnited,BKU,NYSE,Finance,Banks - Major Regional,YES,23.68,1.2,1761.95,12,6.84,8.3,8.1,3.83,2.85,2.92,-0.2558746736292428,0.024561403508771874,-0.32437755102040816,3.29785714285715,
BlackRock,BLK,NYSE,Finance,Financial - Investment Management,YES,727.87,1.27,109007.74,12,20.39,20.85,18.11,34.42,34.92,40.19,0.014526438117373619,0.15091638029782348,14.353140000000002,1.200002277039849,2.17
