Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
"TTM Technologies, Inc.",TTMI,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,1515.58,12,11.62,10.71,9.15,0.99,1.31,1.54,0.3232323232323233,0.17557251908396945,0.33134062499999994,0.5211521739130435,
"Twitter, Inc.",TWTR,NYSE,Computer and Technology,Internet - Software,50894.31,12,68.58,72.75,52.28,-0.72,0.88,1.22,-2.2222222222222223,0.38636363636363635,-0.32737499999999997,1.3531294117647061,
Texas Instruments Incorporated,TXN,NSDQ,Computer and Technology,Semiconductor - General,175271.42,12,26.48,24.16,23.24,5.51,7.86,8.17,0.4264972776769511,0.03944020356234092,0.5664748936170211,5.892464516129039,2.59
"Tyler Technologies, Inc.",TYL,NYSE,Computer and Technology,Business - Software Services,19460.66,12,77.47,70.69,59.71,5.54,6.74,7.98,0.21660649819494587,0.18397626112759646,3.263521666666666,3.2455274193548385,
"Ultra Clean Holdings, Inc.",UCTT,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,1887.23,12,12.24,10.83,9.71,2.7,3.9,4.35,0.4444444444444443,0.11538461538461532,0.24367500000000009,0.8415333333333338,1.35
"Upland Software, Inc.",UPLD,NSDQ,Computer and Technology,Internet - Software,1139.89,12,17.27,18.37,16.87,2.31,2.04,2.22,-0.1168831168831169,0.08823529411764713,-1.5716555555555556,1.9119333333333317,1.84
"Upstart Holdings, Inc.",UPST,NSDQ,Computer and Technology,Computers - IT Services,15622.7,12,,313.89,254.29,0.16,0.64,0.79,3.0,0.23437500000000003,1.0463,10.849706666666664,
United States Cellular Corporation,USM,NYSE,Computer and Technology,Wireless National,2681.92,12,14.65,19.25,17.37,2.24,1.61,1.78,-0.28125,0.10559006211180119,-0.6844444444444444,1.6450411764705892,
"Vocera Communications, Inc.",VCRA,NYSE,Computer and Technology,Communication - Components,1561.47,12,54.19,78.71,58.2,0.47,0.57,0.77,0.21276595744680848,0.3508771929824563,3.6993700000000005,1.6586999999999994,5.43
Veeco Instruments Inc.,VECO,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,1087.03,12,19.28,16.74,13.64,0.87,1.29,1.58,0.4827586206896552,0.2248062015503876,0.3467571428571428,0.6067448275862068,
Veeva Systems Inc.,VEEV,NYSE,Computer and Technology,Internet - Software,48814.89,1,100.07,91.44,79.67,2.84,3.49,4.01,0.22887323943661986,0.14899713467048697,3.995224615384613,5.347082692307698,5.78
"Vertex, Inc.",VERX,NSDQ,Computer and Technology,Internet - Software,2798.04,12,49.9,74.35,71.82,0.44,0.25,0.26,-0.4318181818181818,0.040000000000000036,-1.7217894736842105,17.954999999999984,
Vonage Holdings Corp.,VG,NSDQ,Computer and Technology,Internet - Software and Services,3339.59,12,69.79,69.79,52.81,0.21,0.19,0.25,-0.09523809523809519,0.3157894736842105,-7.327950000000005,1.672316666666667,13.96
Viavi Solutions Inc.,VIAV,NSDQ,Computer and Technology,Communication - Components,3733.67,6,19.44,19.3,18.99,0.8,0.85,0.86,0.06249999999999992,0.011764705882352951,3.088000000000004,16.141499999999986,
Vicor Corporation,VICR,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,5206.01,12,103.83,72.81,47.76,0.32,1.64,2.5,4.124999999999999,0.5243902439024392,0.17650909090909098,0.9107720930232556,
Vipshop Holdings Limited,VIPS,NYSE,Computer and Technology,Internet - Delivery Services,10505.8,12,10.25,9.5,8.06,1.29,1.63,1.92,0.2635658914728681,0.17791411042944788,0.36044117647058843,0.45302758620689654,
"VMware, Inc.",VMW,NYSE,Computer and Technology,Computer - Software,65914.59,1,21.15,22.65,20.79,7.05,6.95,7.57,-0.014184397163120517,0.0892086330935252,-15.968250000000056,2.3304919354838707,1.62
Vodafone Group PLC,VOD,NSDQ,Computer and Technology,Wireless Non-US ,47014.0,3,,13.76,12.11,1.11,1.23,1.4,0.10810810810810799,0.13821138211382109,1.2728000000000015,0.8761941176470591,4.59
"Varonis Systems, Inc.",VRNS,NSDQ,Computer and Technology,Security,6217.21,12,187.58,1163.0,273.65,-0.16,0.05,0.21,-1.3125,3.1999999999999993,-8.860952380952382,0.8551562500000001,
Verint Systems Inc.,VRNT,NSDQ,Computer and Technology,Computer - Software,2774.81,1,12.2,19.08,16.48,3.41,2.24,2.59,-0.34310850439882695,0.15624999999999983,-0.5560923076923078,1.0547200000000012,1.36
"VeriSign, Inc.",VRSN,NSDQ,Computer and Technology,Internet - Software and Services,23560.76,12,38.22,39.15,34.98,6.97,5.38,6.02,-0.22812051649928264,0.11895910780669139,-1.716198113207547,2.940506250000001,
Vertiv Holdings Co.,VRT,NYSE,Computer and Technology,Computers - IT Services,9487.36,12,23.01,23.61,20.6,0.86,1.14,1.31,0.3255813953488371,0.14912280701754402,0.7251642857142858,1.381411764705881,1.19
Viasat Inc.,VSAT,NSDQ,Computer and Technology,Wireless Equipment,3951.53,3,114.66,163.3,142.76,-0.33,0.33,0.38,-2.0,0.15151515151515146,-0.8165,9.422160000000002,6.65
"Vishay Intertechnology, Inc.",VSH,NYSE,Computer and Technology,Semiconductor - Discretes,3294.07,12,14.23,9.66,10.39,0.92,2.36,2.19,1.5652173913043477,-0.07203389830508472,0.06171666666666668,-1.4423764705882358,0.4
Verizon Communications Inc.,VZ,NYSE,Computer and Technology,Wireless National,231763.67,12,10.89,10.64,10.49,4.85,5.26,5.34,0.08453608247422684,0.015209125475285185,1.258634146341463,6.897174999999994,3.11
Waters Corporation,WAT,NYSE,Computer and Technology,Instruments - Scientific,25044.24,12,38.14,38.29,35.06,8.28,10.66,11.64,0.28743961352657016,0.09193245778611636,1.3321058823529406,3.8136693877551004,4.08
Weibo Corporation,WB,NSDQ,Computer and Technology,Internet - Content,11557.42,12,19.16,18.37,15.96,2.21,2.76,3.18,0.2488687782805429,0.1521739130434784,0.7381400000000002,1.048799999999999,3.76
"WESCO International, Inc.",WCC,NYSE,Computer and Technology,Electronics - Parts Distribution,5778.94,12,16.51,13.98,12.41,5.28,8.2,9.24,0.5530303030303029,0.12682926829268304,0.25278904109589045,0.9784807692307683,1.4
"Workday, Inc.",WDAY,NSDQ,Computer and Technology,Internet - Software,57447.26,1,70.48,79.31,66.2,2.69,2.93,3.51,0.08921933085501867,0.197952218430034,8.88932916666666,3.344241379310347,3.92
Western Digital Corporation,WDC,NSDQ,Computer and Technology,Computer- Storage Devices,18954.11,6,13.68,5.78,4.99,3.83,10.71,12.4,1.7963446475195823,0.1577964519140989,0.03217645348837209,0.31623017751479304,
Wipro Limited,WIT,NYSE,Computer and Technology,Business - Software Services,50383.47,3,31.61,30.78,28.78,0.26,0.29,0.31,0.11538461538461527,0.06896551724137938,2.667600000000003,4.173099999999996,3.42
"Watts Water Technologies, Inc.",WTS,NYSE,Computer and Technology,Instruments - Control,5579.3,12,33.71,32.01,29.28,3.74,5.18,5.66,0.38502673796791426,0.09266409266409276,0.8313708333333336,3.1597999999999966,4.0
"Woodward, Inc.",WWD,NSDQ,Computer and Technology,Instruments - Control,7362.09,9,36.51,35.02,28.04,3.73,3.31,4.13,-0.11260053619302947,0.2477341389728096,-3.1101095238095247,1.1318585365853662,2.59
"Xilinx, Inc.",XLNX,NSDQ,Computer and Technology,Semiconductors - Programmable Logic,35298.86,3,42.33,38.42,34.83,3.0,3.71,4.09,0.23666666666666666,0.10242587601078164,1.6233802816901408,3.400507894736843,
Yalla Group Limited Sponsored ADR,YALA,NYSE,Computer and Technology,Internet - Software,1447.94,12,17.96,21.4,11.98,0.4,0.47,0.84,0.17499999999999988,0.7872340425531915,1.2228571428571435,0.1521783783783784,0.89
Yelp Inc.,YELP,NYSE,Computer and Technology,Internet - Content,2732.94,12,161.52,1350.91,65.64,-0.57,0.03,0.57,-1.0526315789473684,17.999999999999996,-12.833645000000002,0.036466666666666675,
Yandex N.V.,YNDX,NSDQ,Computer and Technology,Internet - Content,24621.18,12,112.11,131.15,61.79,0.93,0.53,1.13,-0.43010752688172044,1.132075471698113,-3.0492375000000003,0.5458116666666668,3.46
JOYY Inc. Sponsored ADR,YY,NSDQ,Computer and Technology,Internet - Services,3408.52,12,28.43,390.27,38.68,3.94,0.11,1.11,-0.9720812182741118,9.090909090909092,-4.014787989556135,0.042547999999999996,
"Zendesk, Inc.",ZEN,NYSE,Computer and Technology,Internet - Software,14415.62,12,207.09,185.14,122.25,0.56,0.65,0.98,0.16071428571428564,0.5076923076923077,11.519822222222226,2.4079545454545457,4.99
"Zillow Group, Inc.",ZG,NSDQ,Computer and Technology,Internet - Services,24452.96,12,58.1,87.56,71.21,0.26,1.1,1.35,3.230769230769231,0.22727272727272727,0.2710190476190476,3.13324,5.34
ZoomInfo Technologies Inc.,ZI,NSDQ,Computer and Technology,Computer - Integrated Systems,23005.94,12,117.76,115.74,87.23,0.33,0.51,0.68,0.5454545454545454,0.3333333333333334,2.1219,2.6168999999999993,3.24
"Zoom Video Communications, Inc.",ZM,NSDQ,Computer and Technology,Internet - Software,102657.54,1,78.29,74.84,75.0,2.89,4.66,4.65,0.6124567474048442,-0.00214592274678107,1.2219638418079097,-349.5000000000075,4.5
"Zscaler, Inc.",ZS,NSDQ,Computer and Technology,Internet - Services,33346.75,7,553.25,436.43,235.43,0.47,0.56,1.03,0.19148936170212785,0.8392857142857142,22.791344444444423,2.8051234042553195,8.62
