Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
"Datadog, Inc.",DDOG,NSDQ,Computer and Technology,Internet - Software,41393.32,12,513.54,486.79,397.72,0.17,0.27,0.34,0.5882352941176471,0.25925925925925924,8.27543,15.340628571428574,
Dell Technologies Inc.,DELL,NYSE,Computer and Technology,Computers - IT Services,76101.73,1,11.35,11.88,11.41,7.48,8.39,8.73,0.1216577540106952,0.0405244338498212,0.97650989010989,2.815585294117648,0.99
Donnelley Financial Solutions Inc.,DFIN,NYSE,Computer and Technology,Internet - Software and Services,1078.44,12,9.12,7.88,7.24,1.94,4.07,4.43,1.097938144329897,0.08845208845208831,0.07177089201877933,0.8185222222222236,
Diodes Incorporated,DIOD,NSDQ,Computer and Technology,Electronics - Semiconductors,4087.18,12,26.05,19.12,16.47,2.31,4.76,5.52,1.0606060606060606,0.15966386554621845,0.18027428571428572,1.0315421052631581,
Amdocs Limited,DOX,NSDQ,Computer and Technology,Computers - IT Services,10319.68,9,16.16,16.32,15.1,4.4,4.82,5.21,0.09545454545454543,0.08091286307053935,1.7097142857142862,1.86620512820513,1.63
The Descartes Systems Group Inc.,DSGX,NSDQ,Computer and Technology,Computer - Software,6212.86,1,107.97,63.84,57.06,0.56,1.15,1.29,1.0535714285714282,0.12173913043478272,0.6059389830508477,4.687071428571424,
"Dynatrace, Inc.",DT,NYSE,Computer and Technology,Computers - IT Services,17696.82,3,94.32,98.55,81.2,0.61,0.63,0.77,0.03278688524590167,0.22222222222222224,30.057749999999974,3.6539999999999995,12.7
DXC Technology Company.,DXC,NYSE,Computer and Technology,Computers - IT Services,10517.0,3,13.64,11.63,10.21,2.39,3.59,4.09,0.5020920502092049,0.1392757660167131,0.23163083333333342,0.733078,0.42
8x8 Inc,EGHT,NYSE,Computer and Technology,Internet - Software,2673.11,3,,477.2,125.58,-0.14,0.05,0.19,-1.357142857142857,2.8000000000000003,-3.51621052631579,0.4485,29.83
"Entegris, Inc.",ENTG,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,15734.73,12,39.6,34.95,30.6,2.48,3.32,3.79,0.33870967741935476,0.14156626506024103,1.0318571428571433,2.161531914893616,
"EPAM Systems, Inc.",EPAM,NYSE,Computer and Technology,Computers - IT Services,35052.55,12,84.56,73.65,58.65,6.25,8.4,10.55,0.3440000000000001,0.255952380952381,2.140988372093023,2.291441860465116,3.22
"Bottomline Technologies, Inc.",EPAY,NSDQ,Computer and Technology,Computer - Software,1819.15,6,34.85,32.76,27.74,1.16,1.22,1.45,0.05172413793103453,0.1885245901639344,6.333599999999994,1.4714260869565217,
Ericsson,ERIC,NSDQ,Computer and Technology,Wireless Equipment,38307.66,12,15.74,16.07,13.89,0.58,0.71,0.83,0.2241379310344828,0.16901408450704225,0.7169692307692307,0.8218250000000001,9.62
"Etsy, Inc.",ETSY,NSDQ,Computer and Technology,Internet - Services,24102.75,12,55.03,64.08,54.33,2.12,2.97,3.51,0.4009433962264151,0.18181818181818166,1.5982305882352938,2.9881500000000027,3.26
"Extreme Networks, Inc.",EXTR,NSDQ,Computer and Technology,Computer - Networking,1355.14,6,18.86,15.14,11.44,0.55,0.71,0.94,0.29090909090909073,0.323943661971831,0.5204375000000003,0.35314782608695644,
"FARO Technologies, Inc.",FARO,NSDQ,Computer and Technology,Computer - Integrated Systems,1241.89,12,189.81,59.42,27.33,-0.31,1.15,2.5,-4.709677419354839,1.173913043478261,-0.12616575342465752,0.23281111111111108,
"Facebook, Inc.",FB,NSDQ,Computer and Technology,Internet - Services,1033495.63,12,27.15,25.99,22.64,9.45,14.1,16.19,0.49206349206349215,0.14822695035461006,0.5281838709677418,1.527387559808611,1.21
"FireEye, Inc.",FEYE,NSDQ,Computer and Technology,Security,4221.74,12,44.13,145.35,77.7,0.29,0.12,0.23,-0.5862068965517241,0.9166666666666669,-2.4795000000000003,0.8476363636363635,9.62
"F5 Networks, Inc.",FFIV,NSDQ,Computer and Technology,Internet - Software,12286.21,9,19.82,19.21,17.17,9.33,10.6,11.87,0.1361200428724544,0.11981132075471694,1.411254330708662,1.433086614173229,1.34
Fair Isaac Corporation,FICO,NYSE,Computer and Technology,Computers - IT Services,12895.49,9,36.05,36.84,31.15,8.78,12.16,14.39,0.38496583143507984,0.18338815789473686,0.9569680473372779,1.6985829596412554,
"Five9, Inc.",FIVN,NSDQ,Computer and Technology,Internet - Software,12435.75,12,171.67,176.63,137.42,0.88,1.04,1.34,0.18181818181818185,0.2884615384615385,9.714649999999999,4.763893333333332,9.52
Flex Ltd.,FLEX,NSDQ,Computer and Technology,Electronics - Miscellaneous Products,8944.29,3,10.18,10.11,9.37,1.44,1.81,1.96,0.25694444444444453,0.08287292817679554,0.3934702702702701,1.1306466666666672,0.85
Fabrinet,FN,NYSE,Computer and Technology,Electronics - Miscellaneous Components,3301.08,6,19.17,17.4,16.54,4.58,5.14,5.41,0.12227074235807851,0.05252918287937752,1.4230714285714294,3.1487259259259206,
"FormFactor, Inc.",FORM,NSDQ,Computer and Technology,Electronics - Semiconductors,2764.45,12,22.67,23.76,20.41,1.44,1.5,1.74,0.041666666666666706,0.16,5.7023999999999955,1.275625,
"Fortinet, Inc.",FTNT,NSDQ,Computer and Technology,Security,49394.56,12,81.74,78.12,66.94,3.25,3.87,4.52,0.1907692307692308,0.16795865633074922,4.095,3.9855046153846185,5.48
Fortive Corporation,FTV,NYSE,Computer and Technology,Electronics - Testing Equipment,27115.86,12,25.82,27.63,25.22,2.97,2.74,3.0,-0.07744107744107744,0.09489051094890502,-3.5678739130434782,2.657800000000002,
GoDaddy Inc.,GDDY,NYSE,Computer and Technology,Internet - Delivery Services,11890.33,12,62.74,64.72,40.56,-2.99,1.09,1.73,-1.3645484949832776,0.5871559633027522,-0.47429607843137256,0.6907875000000002,1.85
"Grid Dynamics Holdings, Inc.",GDYN,NSDQ,Computer and Technology,Computers - IT Services,1460.25,12,97.96,77.34,65.67,0.11,0.3,0.36,1.7272727272727273,0.2,0.44775789473684213,3.2835,
"CGI Group, Inc.",GIB,NYSE,Computer and Technology,Computer - Services,22162.29,9,21.7,20.67,19.1,3.66,4.32,4.68,0.18032786885245905,0.08333333333333319,1.1462454545454543,2.292000000000004,2.53
Globant S.A.,GLOB,NYSE,Computer and Technology,Internet - Software and Services,11038.73,12,91.63,80.95,66.39,2.43,3.41,4.15,0.4032921810699588,0.217008797653959,2.007229591836735,3.0593229729729723,
Corning Incorporated,GLW,NYSE,Computer and Technology,Communication - Components,34494.36,12,20.93,18.98,16.7,1.36,2.13,2.42,0.5661764705882351,0.13615023474178406,0.335231168831169,1.2265862068965514,0.83
Generac Holdings Inc.,GNRC,NYSE,Computer and Technology,Electronics - Power Generation,25891.48,12,45.73,40.61,34.54,6.3,10.1,11.88,0.6031746031746031,0.17623762376237637,0.6732710526315789,1.9598539325842683,6.25
Gogo Inc.,GOGO,NSDQ,Computer and Technology,Wireless National,1372.4,12,,59.57,24.06,-2.32,-0.07,0.52,-0.9698275862068966,-8.428571428571429,-0.6142328888888889,-0.028545762711864403,
