,Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,PEG Ratio
2,"Astra Space, Inc.",ASTR,NSDQ,Aerospace,Aerospace - Defense,2133.17,12,,,,,-0.97,-0.52,
4,The Boeing Company,BA,NYSE,Aerospace,Aerospace - Defense,134263.95,12,,,47.74,-9.71,-0.2,4.8,
9,EHang Holdings Limited Unsponsored ADR,EH,NSDQ,Aerospace,Aerospace - Defense Equipment,1294.7,12,,,,-0.04,,,
10,EmbraerEmpresa Brasileira de Aeronautica,ERJ,NYSE,Aerospace,Aerospace - Defense,2708.77,12,,,130.84,-3.12,-0.92,0.11,
12,Finmeccanica SpA,FINMY,OTC,Aerospace,Aerospace - Defense,4578.95,12,,,,,,,
15,Heico Corporation,HEI.A,NYSE,Aerospace,Aerospace - Defense Equipment,15940.86,10,62.98,,,,,,
25,Moog Inc.,MOG.B,NYSE,Aerospace,Aerospace - Defense Equipment,2452.15,9,17.23,,,,,,
26,MTU Aero Engines AG,MTUAY,OTC,Aerospace,Aerospace - Defense,12893.66,12,40.51,,,,,,
29,RollsRoyce Holdings PLC,RYCEY,OTC,Aerospace,Aerospace - Defense Equipment,2857.87,12,,,37.0,-0.76,-0.05,0.04,
31,"Virgin Galactic Holdings, Inc.",SPCE,NYSE,Aerospace,Aerospace - Defense,6516.42,12,,,,-1.29,-1.4,-0.78,
32,"Spirit Aerosystems Holdings, Inc.",SPR,NYSE,Aerospace,Aerospace - Defense Equipment,4350.67,12,,,334.62,-5.03,-2.79,0.12,
37,Wheels Up Experience Inc.,UP,NYSE,Aerospace,Aerospace - Defense,1996.64,12,,,,,-0.46,-0.24,
1,"Aeva Technologies, Inc.",AEVA,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,1693.11,12,,,,-0.11,-0.41,-0.38,
4,Arrival,ARVL,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,6700.66,12,,,,,,,
13,"ChargePoint Holdings, Inc.",CHPT,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,6906.19,1,,,,,-0.55,-0.43,
16,"Custom Truck One Source, Inc.",CTOS,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,1607.74,12,,,38.41,-0.51,-0.41,0.17,
25,"Electric Last Mile Solutions, Inc.",ELMS,NSDQ,Auto-Tires-Trucks,Automotive - Domestic,1054.23,12,,,,-0.71,-0.63,-0.69,
28,Fisker Inc.,FSR,NYSE,Auto-Tires-Trucks,Automotive - Domestic,4171.73,12,,,,-0.3,-0.94,-0.81,
33,Canoo Inc.,GOEV,NSDQ,Auto-Tires-Trucks,Automotive - Domestic,1560.39,12,,,,-2.53,-1.23,-1.14,
36,Hino Motors Ltd.,HINOY,OTC,Auto-Tires-Trucks,Automotive - Foreign,4936.22,3,69.85,,,,,,
39,Hyliion Holdings Corp.,HYLN,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,1419.93,12,,,,-0.69,-0.77,-1.0,
40,Hyundai Motor Co.,HYMLF,OTC,Auto-Tires-Trucks,Automotive - Foreign,19016.45,12,,,,,,,
42,Isuzu Motors Ltd.,ISUZY,OTC,Auto-Tires-Trucks,Automotive - Foreign,10542.11,3,9.69,,,,,,
43,"Luminar Technologies, Inc.",LAZR,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,5834.92,12,,,,-0.23,-0.51,-0.37,
44,"Lucid Group, Inc.",LCID,NSDQ,Auto-Tires-Trucks,Automotive - Domestic,36953.13,12,,,,,,,
47,The Lion Electric Company,LEV,NYSE,Auto-Tires-Trucks,Automotive - Domestic,2542.83,12,,,,,-0.21,0.0,
48,Li Auto Inc. Sponsored ADR,LI,NSDQ,Auto-Tires-Trucks,Automotive - Foreign,25022.46,12,,,,-0.19,-0.17,-0.05,
50,"Latch, Inc.",LTCH,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,1411.3,12,,,,,-0.98,-0.9,
55,NIO Inc.,NIO,NYSE,Auto-Tires-Trucks,Automotive - Foreign,60598.88,12,,,,-0.62,-0.72,-0.24,
57,Nikola Corporation,NKLA,NSDQ,Auto-Tires-Trucks,Automotive - Domestic,3636.06,12,,,,-0.63,-0.91,-0.91,
62,Porsche Automobil Holding SE Unsponsored ADR,POAHY,OTC,Auto-Tires-Trucks,Automotive - Foreign,32049.06,12,,6.38,5.66,,1.64,1.85,
63,QuantumScape Corporation,QS,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,8387.42,12,,,,,-0.21,-0.49,
65,REE Automotive Ltd.,REE,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,3080.17,12,,,,,,,
78,"Velodyne Lidar, Inc.",VLDR,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,1351.31,12,,,,-0.52,-0.61,-0.15,
81,"Veoneer, Inc.",VNE,NYSE,Auto-Tires-Trucks,Automotive - Original Equipment,4120.1,12,,,,-4.86,-3.16,-1.93,
82,"Vroom, Inc.",VRM,NSDQ,Auto-Tires-Trucks,Automotive - Domestic,3978.4,12,,,,-1.7,-2.5,-2.39,
85,"Workhorse Group, Inc.",WKHS,NSDQ,Auto-Tires-Trucks,Automotive - Original Equipment,1135.37,12,,,,-2.3,-1.73,-0.54,
87,XPeng Inc. Sponsored ADR,XPEV,NYSE,Auto-Tires-Trucks,Automotive - Foreign,30133.05,12,,,,-0.85,-0.74,-0.3,
8,"Amyris, Inc.",AMRS,NSDQ,Basic Materials,Chemical - Specialty,4115.05,12,,,,-1.54,-1.19,-0.26,
17,Allegheny Technologies Incorporated,ATI,NYSE,Basic Materials,Steel - Speciality,2448.21,12,,,25.15,-0.55,-0.19,0.76,
22,Alumina Ltd.,AWCMY,OTC,Basic Materials,Mining - Miscellaneous,3527.27,12,,,,,,,
35,Cameco Corporation,CCJ,NYSE,Basic Materials,Mining - Miscellaneous,6547.01,12,,,58.79,-0.21,-0.16,0.28,
40,Centerra Gold Inc.,CGAU,NYSE,Basic Materials,Mining - Gold,2195.69,12,5.0,9.78,7.25,,0.76,1.02,
46,Carpenter Technology Corporation,CRS,NYSE,Basic Materials,Steel - Speciality,1716.2,6,,,18.32,-2.4,-0.66,1.95,
47,Capstone Mining Corp.,CSFFF,OTC,Basic Materials,Mining - Miscellaneous,1747.14,12,9.64,,,,,,
52,Dundee Precious Metals Inc.,DPMLF,OTC,Basic Materials,Mining - Gold,1178.01,12,5.67,,,,,,
54,"Diversey Holdings, Ltd.",DSEY,NSDQ,Basic Materials,Chemical - Specialty,4729.93,12,,26.17,22.27,,0.6,0.7,1.84
60,Ero Copper Corp.,ERO,NYSE,Basic Materials,Mining - Non Ferrous,1663.21,12,9.46,8.45,8.76,,2.23,2.15,
68,First Quantum Minerals Ltd.,FQVLF,OTC,Basic Materials,Mining - Non Ferrous,14337.98,12,35.78,,,,,,
79,Ferroglobe PLC,GSM,NSDQ,Basic Materials,Mining - Miscellaneous,1045.58,12,,,,,,,
82,Hochschild Mining PLC,HCHDF,OTC,Basic Materials,Mining - Silver,1104.83,12,,,,,,,
85,Huabao International Holdings Ltd.,HUIHY,OTC,Basic Materials,Chemical - Specialty,7724.21,12,,,,,,,
90,Impala Platinum Holdings Ltd.,IMPUY,OTC,Basic Materials,Mining - Miscellaneous,13468.57,6,,3.73,,3.27,4.42,,0.41
93,Jfe Holdings Inc.,JFEEF,OTC,Basic Materials,Steel - Producers,8723.98,3,11.93,,,-0.46,,,
97,Kumba Iron Ore Ltd.,KIROY,OTC,Basic Materials,Mining - Iron,16266.95,12,,,,,,,
101,Kuraray Co.,KURRY,OTC,Basic Materials,Chemical - Plastic,3445.73,12,9.31,12.95,10.71,,2.25,2.72,
103,Kaz Minerals PLC,KZMYY,OTC,Basic Materials,Mining - Non Ferrous,5244.06,12,,,,0.58,,,
104,Lithium Americas Corp.,LAC,NYSE,Basic Materials,Chemical - Diversified ,2048.49,12,,,,-0.41,-0.39,-0.02,
106,Lundin Mining Corp.,LUNMF,OTC,Basic Materials,Mining - Non Ferrous,6422.58,12,10.86,,,,,,
108,Lynas Corp.,LYSDY,OTC,Basic Materials,Mining - Miscellaneous,4964.94,6,,15.74,,0.16,0.35,,
121,Newcrest Mining Ltd.,NCMGY,OTC,Basic Materials,Mining - Gold,15495.81,6,,,,,,,
123,NewMarket Corporation,NEU,NYSE,Basic Materials,Chemical - Specialty,3712.07,12,13.06,,,,,,
125,Novagold Resources Inc.,NG,AMEX,Basic Materials,Mining - Gold,2431.0,11,,,,-0.11,-0.1,-0.1,
128,JSC MMC Norilsk Nickel,NILSY,OTC,Basic Materials,Mining - Miscellaneous,52586.08,12,,,,,,,
129,Nissan Chemical Corporation Unsponsored ADR,NNCHY,OTC,Basic Materials,Chemical - Specialty,7166.88,3,23.04,21.73,19.75,,2.29,2.52,
130,Nippon Steel & Sumitomo Metal Corp.,NPSCY,OTC,Basic Materials,Steel - Producers,19234.5,3,11.77,,,,,,
134,NexGen Energy Ltd.,NXE,AMEX,Basic Materials,Mining - Miscellaneous,1846.88,12,,,,-0.12,-0.15,-0.06,
138,Orocobre Ltd.,OROCF,OTC,Basic Materials,Mining - Miscellaneous,2250.04,6,,,,,,,
141,Ranpak Holdings Corp,PACK,NYSE,Basic Materials,Paper and Related Products,2452.43,12,,,,,,,
148,"Seabridge Gold, Inc.",SA,NYSE,Basic Materials,Mining - Gold,1369.55,12,,,,-0.12,-0.18,-0.22,
156,"SINOPEC Shangai Petrochemical Company, Ltd.",SHI,NYSE,Basic Materials,Chemical - Diversified ,2307.64,12,5.09,4.26,,0.88,5.01,,0.18
157,Showa Denko K.K.,SHWDY,OTC,Basic Materials,Chemical - Diversified ,4016.75,12,13.69,,,,,,
159,SilverCrest Metals Inc.,SILV,AMEX,Basic Materials,Mining - Miscellaneous,1131.5,12,,,73.22,-0.42,-0.19,0.11,
160,"Grupo Simec, S.A. de C.V.",SIM,AMEX,Basic Materials,Steel - Producers,3807.72,12,12.5,,,,,,
165,Sappi Ltd.,SPPJY,OTC,Basic Materials,Paper and Related Products,1529.08,9,,,,-0.02,,,
170,Suzano S.A. Sponsored ADR,SUZ,NYSE,Basic Materials,Paper and Related Products,14688.0,12,6.42,,,,,,
174,ThyssenKrupp AG Sponsored ADR,TKAMY,OTC,Basic Materials,Steel - Producers,6349.82,9,,,7.18,20.84,-0.27,1.42,
178,Turquoise Hill Resources Ltd.,TRQ,NYSE,Basic Materials,Mining - Miscellaneous,3062.74,12,4.93,,,,,,
181,ThyssenKrupp AG,TYEKF,OTC,Basic Materials,Steel - Producers,6309.36,9,,,,,,,
187,Vedanta  Limited,VEDL,NYSE,Basic Materials,Mining - Miscellaneous,16587.99,3,7.86,,,,,,
194,Wilmar International Ltd.,WLMIY,OTC,Basic Materials,Agriculture - Products,20529.84,12,,,,,,,
1,"Accolade, Inc.",ACCD,NSDQ,Business Services,Technology Services,2857.69,2,,,,-1.24,-1.53,-1.17,
5,Adyen N.V. Unsponsored ADR,ADYEY,OTC,Business Services,Financial Transaction Services,84845.91,12,,150.6,99.5,,0.37,0.56,
6,ATOS ORIGIN SA,AEXAY,OTC,Business Services,Technology Services,5582.15,12,,,,,,,
7,"Affirm Holdings, Inc.",AFRM,NSDQ,Business Services,Business - Services,16857.28,6,,,,-2.02,-0.81,-0.49,
10,APi Group Corporation,APG,NYSE,Business Services,Business - Services,4597.52,12,19.65,,,1.11,,,
11,"Agora, Inc. Sponsored ADR",API,NSDQ,Business Services,Technology Services,2928.38,12,,,,0.03,-0.45,-0.41,
12,AppLovin Corporation,APP,NSDQ,Business Services,Technology Services,20377.91,12,,188.78,79.83,,0.3,0.7,9.44
15,"AvePoint, Inc.",AVPT,NSDQ,Business Services,Technology Services,1707.18,12,,172.18,145.69,,0.05,0.06,
20,Burning Rock Biotech Limited Sponsored ADR,BNR,NSDQ,Business Services,Technology Services,2162.06,12,,,,-0.62,-0.7,-0.49,
22,BTRS Holdings Inc.,BTRS,NSDQ,Business Services,Technology Services,1757.34,12,,,,-0.1,-0.31,-0.19,
27,"Clear Channel Outdoor Holdings, Inc.",CCO,NYSE,Business Services,Advertising and Marketing,1083.01,12,,,,-1.4,-1.05,-0.2,
29,"Cardlytics, Inc.",CDLX,NSDQ,Business Services,Technology Services,2575.15,12,,,,-0.82,-1.5,-1.2,
30,"Confluent, Inc.",CFLT,NSDQ,Business Services,Technology Services,13538.72,12,,,,,-1.05,-0.83,
31,Cap Gemini SA,CGEMY,OTC,Business Services,Outsourcing,38027.22,12,,,,,,,
34,"Core & Main, Inc.",CNM,NYSE,Business Services,Waste Removal Services,8989.68,1,,,,,,,
35,Concentrix Corporation,CNXC,NSDQ,Business Services,Business - Services,8653.87,11,,17.82,16.0,,9.3,10.36,0.9
37,"Coursera, Inc.",COUR,NYSE,Business Services,Technology Services,5219.09,12,,,,,-0.54,-0.4,
39,"Cricut, Inc.",CRCT,NSDQ,Business Services,Technology Services,6256.83,12,,33.52,28.74,,0.84,0.98,
40,CorVel Corp.,CRVL,NSDQ,Business Services,Business - Services,2720.5,3,50.74,,,,,,
41,"Sprinklr, Inc.",CXM,NYSE,Business Services,Technology Services,4939.46,1,,,,,-0.39,-0.24,
42,Dada Nexus Limited Sponsored ADR,DADA,NSDQ,Business Services,Technology Services,4529.86,12,,,,-1.45,-1.34,-0.37,
43,"Youdao, Inc. Unsponsored ADR",DAO,NYSE,Business Services,Technology Services,1126.99,12,,,,-2.48,-2.72,-1.66,
45,DLocal Limited,DLO,NSDQ,Business Services,Financial Transaction Services,6899.59,12,,208.0,109.56,,0.23,0.44,
46,Deluxe Corporation,DLX,NYSE,Business Services,Business - Office Products,1758.8,12,7.71,,,,,,
49,"Duolingo, Inc.",DUOL,NSDQ,Business Services,Technology Services,4845.44,12,,,,,,,
52,EDENRED,EDNMY,OTC,Business Services,Technology Services,14361.3,12,,,,,,,
55,Elastic N.V.,ESTC,NYSE,Business Services,Technology Services,13664.13,4,,,,-0.17,-0.52,-0.06,
62,First Advantage Corporation,FA,NSDQ,Business Services,Technology Services,3683.84,12,,32.57,30.9,,0.74,0.78,1.76
68,Flywire Corporation,FLYW,NSDQ,Business Services,Financial Transaction Services,4158.09,12,,,,,-0.48,-0.34,
72,Global Blue Group Holding AG,GB,NYSE,Business Services,Financial Transaction Services,1402.76,12,,,,,,,
74,GDS Holdings Limited,GDS,NSDQ,Business Services,Technology Services,10445.7,12,,,,-0.56,-0.61,-0.04,
81,Houghton Mifflin Harcourt Company,HMHC,NSDQ,Business Services,Business - Services,1779.68,12,,,,,,,
82,HNI Corporation,HNI,NYSE,Business Services,Business - Office Products,1719.91,12,18.4,,,,,,
85,HIVE Blockchain Technologies Ltd.,HVBT,NSDQ,Business Services,Technology Services,1123.54,3,,11.35,,,0.26,,
86,Integral Ad Science Holding Corp.,IAS,NSDQ,Business Services,Advertising and Marketing,2805.84,12,,,560.92,,-0.34,0.03,
90,"Instructure Holdings, Inc.",INST,NYSE,Business Services,Technology Services,2776.93,12,,,,,,,
93,Indra Sistemas S.A. Unsponsored ADR,ISMAY,OTC,Business Services,Technology Services,1780.68,12,,,,,,,
96,JC Decaux SA,JCDXF,OTC,Business Services,Advertising and Marketing,5495.02,12,,,,,,,
102,"WM Technology, Inc.",MAPS,NSDQ,Business Services,Technology Services,1612.93,12,,,,,,,
105,"Montrose Environmental Group, Inc.",MEG,NYSE,Business Services,Waste Removal Services,1238.18,12,,525.11,,-0.13,0.09,-0.06,
107,"Herman Miller, Inc.",MLHR,NSDQ,Business Services,Business - Office Products,2507.95,5,12.72,,,,,,
108,"MeridianLink, Inc.",MLNK,NYSE,Business Services,Technology Services,2025.69,12,,,,,,,
110,"Morningstar, Inc.",MORN,NSDQ,Business Services,Business - Information Services,11476.38,12,40.31,,,,,,
112,"Marqeta, Inc.",MQ,NSDQ,Business Services,Financial Transaction Services,13160.7,12,,,,,-0.88,-0.67,
116,NanoX Imaging Ltd.,NNOX,NSDQ,Business Services,Technology Services,1183.51,12,,,,-0.95,-1.14,-1.26,
117,NOV Inc.,NOV,NYSE,Business Services,Technology Services,5028.36,12,,,61.78,-0.11,-0.49,0.21,
118,National Research Corporation,NRC,NSDQ,Business Services,Business - Information Services,1343.94,12,37.74,,,,,,
123,Outbrain Inc.,OB,NSDQ,Business Services,Technology Services,1028.1,12,,,,,,,
124,"OneConnect Financial Technology Co., Ltd. Sponsored ADR",OCFT,NYSE,Business Services,Technology Services,1661.37,12,,,,-0.56,-0.49,-0.31,
125,OC OERLIKON CP,OERLF,OTC,Business Services,Technology Services,3973.75,12,,,,,,,
127,Opendoor Technologies Inc.,OPEN,NSDQ,Business Services,Technology Services,9422.2,12,,,,-1.23,-1.08,-0.81,
129,"UiPath, Inc.",PATH,NYSE,Business Services,Technology Services,30545.12,1,,,,,-0.05,-0.06,
130,"Paymentus Holdings, Inc.",PAY,NYSE,Business Services,Technology Services,3203.53,12,,331.8,377.05,,0.08,0.07,
132,"Procore Technologies, Inc.",PCOR,NYSE,Business Services,Technology Services,11525.72,12,,,,,-0.41,-0.52,
133,"PureCycle Technologies, Inc.",PCT,NSDQ,Business Services,Technology Services,1554.98,12,,,,,-0.69,-0.62,
135,Paysafe Limited,PSFE,NYSE,Business Services,Financial Transaction Services,1580.73,12,,90.74,40.09,,0.09,0.22,
138,PAX GLOBAL TECH,PXGYF,OTC,Business Services,Financial Transaction Services,1265.11,12,,,,,,,
144,AiHuiShou International Co. Ltd. Sponsored ADR,RERE,NYSE,Business Services,Technology Services,2696.33,12,,,550.5,,-2.34,0.02,
146,"B. Riley Financial, Inc.",RILY,NSDQ,Business Services,Auction and Valuation Services,1806.23,12,3.12,,,,,,
149,RENISHAW PLC 20,RNSHF,OTC,Business Services,Technology Services,4876.13,6,,,,1.81,,,
155,"SailPoint Technologies Holdings, Inc.",SAIL,NYSE,Business Services,Technology Services,4047.63,12,207.38,,,0.3,-0.05,-0.04,
156,Steelcase Inc.,SCS,NYSE,Business Services,Business - Office Products,1601.01,2,30.76,,,,,,
157,Sodexo SA,SDXAY,OTC,Business Services,Business - Services,12430.37,8,,38.32,17.94,,0.44,0.94,
159,Skillsoft Corp.,SKIL,NYSE,Business Services,Technology Services,1234.79,12,,,18.56,,-0.2,0.5,
160,Smiths Group PLC,SMGZY,OTC,Business Services,Technology Services,8012.76,7,,23.1,,0.66,0.88,,4.94
162,"SoFi Technologies, Inc.",SOFI,NSDQ,Business Services,Technology Services,11426.64,12,,,1429.0,,-0.37,0.01,
165,Spotify Technology SA,SPOT,NYSE,Business Services,Technology Services,37432.15,12,,,923.01,-3.65,-1.09,0.23,
172,TELUS International CDA Inc.,TIXT,NYSE,Business Services,Technology Services,8148.57,12,,32.22,25.9,,0.95,1.18,1.35
176,Tremor International Ltd. Sponsored ADR,TRMR,NSDQ,Business Services,Advertising and Marketing,1500.25,12,,79.04,56.46,,0.25,0.35,
178,TuSimple Holdings Inc.,TSP,NSDQ,Business Services,Technology Services,6344.38,12,,,,,-3.64,-2.15,
185,Waterdrop Inc. Unsponsored ADR,WDH,NYSE,Business Services,Technology Services,13597.37,12,,,,,-0.04,-0.01,
194,Xperi Holding Corporation,XPER,NSDQ,Business Services,Technology Services,2121.21,12,5.71,10.16,,3.66,1.99,,
195,Yext Inc.,YEXT,NYSE,Business Services,Technology Services,1564.16,1,,,,-0.27,-0.2,-0.06,
196,Full Truck Alliance Co. Ltd. Sponsored ADR,YMM,NYSE,Business Services,Technology Services,11390.52,12,,,,,,,
197,Zeta Global Holdings Corp.,ZETA,NYSE,Business Services,Technology Services,1044.87,12,,39.85,31.77,,0.14,0.17,1.33
3,Anhui Conch Cement Co.,AHCHY,OTC,Construction,Building Products - Concrete and Aggregates,7173.79,12,6.11,5.75,5.89,,4.8,4.68,
6,Arcadis NV,ARCAY,OTC,Construction,Engineering - R and D Services,4136.81,12,,,,,,,
7,"Aspen Aerogels, Inc.",ASPN,NYSE,Construction,Building Products - Miscellaneous,1123.71,12,,,,-0.74,-0.97,-0.7,
12,Balfour Beatty PLC,BAFYY,OTC,Construction,Building Products - Heavy Construction,2837.72,12,,,,,,,
18,China Resources Cement Holdings Ltd. Unsponsored ADR,CARCY,OTC,Construction,Building Products - Concrete and Aggregates,6699.2,12,,6.35,6.05,,4.53,4.76,
19,Chase Corporation,CCF,AMEX,Construction,Paints and Related Products,1106.89,8,25.86,,,,,,
22,Chiyoda Corp. Unsponsored ADR,CHYCY,OTC,Construction,Engineering - R and D Services,1082.95,3,59.43,,11.89,,-0.46,0.35,
30,Daiwa House Industry Co. Ltd.,DWAHY,OTC,Construction,Building Products - Mobile Homes and RV Builders,20366.9,3,9.64,,,,,,
37,Ferrovial SA,FRRVY,OTC,Construction,Engineering - R and D Services,21601.65,12,,,,,,,
38,"Forterra, Inc.",FRTA,NSDQ,Construction,Building Products - Concrete and Aggregates,1572.64,12,15.26,,,0.61,,,
43,Granite Construction Incorporated,GVA,NYSE,Construction,Building Products - Heavy Construction,1868.57,12,19.33,22.41,21.46,,1.82,1.9,
46,Hillman Solutions Corp.,HLMN,NSDQ,Construction,Building Products - Miscellaneous,2429.44,12,,126.24,36.35,,0.1,0.36,8.42
51,"Janus International Group, Inc.",JBI,NYSE,Construction,Building Products - Miscellaneous,1875.28,12,,,,,,,
53,Jiangsu Expressway Co.,JEXYY,OTC,Construction,Building Products - Heavy Construction,5293.66,12,14.4,,,,,,
58,Lennar Corporation,LEN.B,NYSE,Construction,Building Products - Home Builders,27878.43,11,8.96,,,,,,
64,Metallurgical Corp. of China Ltd.,MLLUY,OTC,Construction,Engineering - R and D Services,5745.62,12,5.6,,,,,,
70,Obayashi Corporation,OBYCF,OTC,Construction,Building Products - Miscellaneous,6135.91,3,6.95,,,,,,
84,Shimizu Corporation Unsponsored ADR,SHMUY,OTC,Construction,Building Products - Miscellaneous,5695.36,3,8.25,,,,,,
86,Sekisui House Ltd.,SKHSY,OTC,Construction,Building Products - Home Builders,13614.92,1,11.23,,,,,,
88,SENIOR PLC,SNIRF,OTC,Construction,Engineering - R and D Services,1016.91,12,,,48.59,-0.03,-0.01,0.05,
92,"Latham Group, Inc.",SWIM,NSDQ,Construction,Building Products - Miscellaneous,2663.45,12,,,40.59,,-0.15,0.55,
102,Vinci SA,VCISY,OTC,Construction,Building Products - Heavy Construction,64246.6,12,,,,,,,
108,"Watsco, Inc.",WSO.B,NYSE,Construction,Building Products - Air Conditioner and Heating,10657.99,12,30.57,,,,,,
3,"AMC Entertainment Holdings, Inc.",AMC,NYSE,Consumer Discretionary,Leisure and Recreation Services,18320.76,12,,,,-29.23,-2.75,-0.6,
8,Sendas Distribuidora S.A. Sponsored ADR,ASAI,NYSE,Consumer Discretionary,Consumer Products - Discretionary,4365.35,12,,95.35,85.32,,0.17,0.19,4.26
10,Adtalem Global Education Inc.,ATGE,NYSE,Consumer Discretionary,Schools,1845.15,6,12.91,10.98,,2.98,3.35,,0.73
23,Carnival Corporation,CCL,NYSE,Consumer Discretionary,Leisure and Recreation Services,22193.46,11,,,57.38,-7.36,-5.71,0.4,
32,Cinemark Holdings Inc,CNK,NYSE,Consumer Discretionary,Leisure and Recreation Services,1751.34,12,,,17.51,-4.69,-3.7,0.84,
34,"Traeger, Inc.",COOK,NYSE,Consumer Discretionary,Consumer Products - Discretionary,3073.88,12,,,,,,,
38,Carnival Corporation,CUK,NYSE,Consumer Discretionary,Leisure and Recreation Services,3858.15,11,,,,,,,
41,"Caesars Entertainment, Inc.",CZR,NSDQ,Consumer Discretionary,Leisure and Recreation Services,18653.75,12,,,93.14,-11.75,-1.62,0.94,
45,"Discovery Communications, Inc.",DISCB,NSDQ,Consumer Discretionary,Broadcast Radio and Television,22207.29,12,16.82,,,,,,
46,"Discovery Communications, Inc.",DISCK,NSDQ,Consumer Discretionary,Broadcast Radio and Television,13569.15,12,10.28,,,,,,
48,DraftKings Inc.,DKNG,NSDQ,Consumer Discretionary,Gaming,21157.02,12,,,,-2.3,-3.2,-2.55,
51,DOMETIC GP AB,DTCGF,OTC,Consumer Discretionary,Leisure and Recreation Products,5102.55,12,36.7,,,0.36,,,
52,Dufry AG,DUFRY,OTC,Consumer Discretionary,Consumer Products - Discretionary,4807.7,12,,,,,,,
54,"Endeavor Group Holdings, Inc.",EDR,NYSE,Consumer Discretionary,Media Conglomerates,15842.1,12,,38.48,17.72,,0.6,1.3,
58,Flight Centre Ltd.,FGETF,OTC,Consumer Discretionary,Leisure and Recreation Services,1101.63,6,,,26.58,-1.35,-0.48,0.41,
59,Fox Corporation,FOX,NSDQ,Consumer Discretionary,Broadcast Radio and Television,19872.11,6,11.93,,,,,,
61,fuboTV Inc.,FUBO,NYSE,Consumer Discretionary,Broadcast Radio and Television,3901.5,12,,,,-5.55,-2.55,-2.36,
62,"Cedar Fair, L.P.",FUN,NYSE,Consumer Discretionary,Leisure and Recreation Services,2566.36,12,,,16.69,-11.0,-1.75,2.7,
63,Liberty Media Corporation,FWONA,NSDQ,Consumer Discretionary,Media Conglomerates,9778.36,12,,,,-4.94,,,
64,Liberty Media Corp.,FWONB,OTC,Consumer Discretionary,Media Conglomerates,12057.73,12,,,,,,,
66,F45 Training Holdings Inc.,FXLV,NYSE,Consumer Discretionary,Consumer Services - Miscellaneous,1388.9,12,,,21.47,,-0.19,0.72,
69,MEDIASET ESPANA,GETVY,OTC,Consumer Discretionary,Film and Television Production and Distribution,4306.03,12,21.15,,,,,,
70,Graham Holdings Company,GHC,NYSE,Consumer Discretionary,Schools,3106.32,12,9.57,,,,,,
73,"Golden Nugget Online Gaming, Inc.",GNOG,NSDQ,Consumer Discretionary,Gaming,1485.88,12,,33.46,,,0.57,-0.74,
76,Grasim Industries Ltd.,GRSXY,OTC,Consumer Discretionary,Textile - Apparel,9213.09,3,,,,,,,
78,"Gray Television, Inc.",GTN.A,NYSE,Consumer Discretionary,Broadcast Radio and Television,1867.74,12,5.02,,,,,,
79,Hyatt Hotels Corporation,H,NYSE,Consumer Discretionary,Hotels and Motels,7353.2,12,,,,-4.99,-5.48,-0.07,
82,"Hengan International Group Co., Ltd. Unsponsored ADR",HEGIY,OTC,Consumer Discretionary,Consumer Products - Discretionary,6915.68,12,,11.04,10.13,,2.66,2.9,
84,"H.I.S. Co., Ltd.",HISJF,OTC,Consumer Discretionary,Leisure and Recreation Services,1463.48,10,,,26.88,-4.02,-4.18,0.8,
85,Hong Kong Television Network Ltd.,HKTVY,OTC,Consumer Discretionary,Film and Television Production and Distribution,1164.19,12,,,,,,,
87,"H&R Block, Inc.",HRB,NYSE,Consumer Discretionary,Consumer Services - Miscellaneous,4678.83,6,6.0,9.24,8.41,,2.79,3.06,0.74
92,"iHeartMedia, Inc.",IHRT,NSDQ,Consumer Discretionary,Broadcast Radio and Television,3259.06,12,,,13.69,-12.87,-1.24,1.68,
93,"iQIYI, Inc. Sponsored ADR",IQ,NSDQ,Consumer Discretionary,Film and Television Production and Distribution,7038.01,12,,,,-1.17,-0.93,-0.46,
94,ITV PLC.,ITVPY,OTC,Consumer Discretionary,Broadcast Radio and Television,6843.2,12,,,,,,,
95,Johnson Outdoors Inc.,JOUT,NSDQ,Consumer Discretionary,Leisure and Recreation Products,1203.62,9,13.12,,,,,,
97,Laureate Education Inc.,LAUR,NSDQ,Consumer Discretionary,Schools,3005.72,12,,,34.32,-2.77,-0.82,0.47,
98,Liberty Broadband Corporation,LBRDA,NSDQ,Consumer Discretionary,Cable Television,32486.04,12,51.34,,,,,,
101,Liberty Global PLC,LBTYB,NSDQ,Consumer Discretionary,Cable Television,16272.12,12,9.73,,,,,,
102,Liberty Global PLC,LBTYK,NSDQ,Consumer Discretionary,Broadcast Radio and Television,16199.89,12,9.69,,,,,,
